time,coin,price,tf15m_sig,tf1h_sig,tf4h_sig,score_15m,score_1h,score_4h,funding,oi,vote,notes
2025-10-19 14:14:54,ETH,3886.9200,⚖️ Trung tính,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-0.50,-0.20,-1.30,-3.50523561811e-05,4984302.720000011,⚖️ Chưa rõ ràng, | 432ms
2025-10-19 14:14:55,LTC,91.8100,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Long (yếu)*,⚖️ Trung tính,-0.50,1.80,-0.50,-5.80813280087e-05,439229.80000000005,⚖️ Chưa rõ ràng, | 421ms
2025-10-19 14:15:01,LINEA,0.0179,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,5e-05,2612580.0,⚖️ Chưa rõ ràng, | 1065ms
2025-10-19 14:15:02,SOL,185.6800,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,1.25399484159e-05,2344150.1200000024,⚖️ Chưa rõ ràng, | 960ms
2025-10-19 14:15:03,BNB,1086.7500,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,2.32409825644e-05,9929771.0,⚖️ Chưa rõ ràng, | 432ms
2025-10-19 14:15:04,ADA,0.6297,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-1.60106139842e-05,553808.6,⚖️ Chưa rõ ràng, | 443ms
2025-10-19 14:15:04,PEPE,0.0000,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-3.86246294648e-05,486477.6,⚖️ Chưa rõ ràng, | 431ms
2025-10-19 14:15:08,BTC,106870.4800,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-1.50,-1.20,-1.30,-2.25909710314e-05,2301554.090000005,⚖️ Chưa rõ ràng, | 435ms
2025-10-19 14:15:15,ETH,3886.9300,⚖️ Trung tính,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-0.50,-0.20,-1.30,-3.45639872009e-05,4984916.150000012,⚖️ Chưa rõ ràng, | 446ms
2025-10-19 14:15:15,LTC,91.8300,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Long (yếu)*,⚖️ Trung tính,-0.50,1.80,-0.50,-5.61270932406e-05,439228.0,⚖️ Chưa rõ ràng, | 449ms
2025-10-19 14:15:21,LINEA,0.0178,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,5e-05,2612554.0,⚖️ Chưa rõ ràng, | 433ms
2025-10-19 14:15:21,SOL,185.7700,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,1.37954084971e-05,2344434.2400000026,⚖️ Chưa rõ ràng, | 434ms
2025-10-19 14:15:22,BNB,1087.3900,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,2.43366423674e-05,9929601.0,⚖️ Chưa rõ ràng, | 447ms
2025-10-19 14:15:24,ADA,0.6298,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-1.52134936907e-05,553835.5,⚖️ Chưa rõ ràng, | 436ms
2025-10-19 14:15:28,PEPE,0.0000,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-3.6515977206e-05,487346.69999999995,⚖️ Chưa rõ ràng, | 461ms
2025-10-19 14:15:28,BTC,106876.0200,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-1.50,-1.20,-1.30,-2.20135368075e-05,2301610.190000005,⚖️ Chưa rõ ràng, | 435ms
2025-10-19 14:15:34,ETH,3887.8200,⚖️ Trung tính,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-0.50,-0.20,-1.30,-3.45639872009e-05,4985883.690000012,⚖️ Chưa rõ ràng, | 442ms
2025-10-19 14:15:34,LTC,91.8400,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Long (yếu)*,⚖️ Trung tính,-0.50,1.80,-0.50,-5.61270932406e-05,439236.30000000005,⚖️ Chưa rõ ràng, | 438ms
2025-10-19 14:15:40,LINEA,0.0178,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,5e-05,2611796.0,⚖️ Chưa rõ ràng, | 561ms
2025-10-19 14:15:41,SOL,185.7700,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,1.37954084971e-05,2344569.6600000025,⚖️ Chưa rõ ràng, | 432ms
